Simulation number;Hands Played;Minimum Bet;Payout;House Edge (%);Number of Mistakes
1;100;5;40;-8.0;82
2;100;5;-355;71.0;92
3;100;5;-110;22.0;93
4;100;5;-65;13.0;96
5;100;5;-120;24.0;88
6;100;5;-55;11.0;85
7;100;5;-165;33.0;83
8;100;5;-85;17.0;93
9;100;5;-50;10.0;100
10;100;5;-155;31.0;91
11;100;5;-240;48.0;76
12;100;5;-120;24.0;99
13;100;5;-330;66.0;111
14;100;5;-105;21.0;82
15;100;5;-145;29.0;92
16;100;5;-180;36.0;98
17;100;5;-400;80.0;85
18;100;5;-205;41.0;88
19;100;5;-90;18.0;112
20;100;5;15;-3.0;85
21;100;5;-75;15.0;101
22;100;5;-440;88.0;84
23;100;5;-205;41.0;98
24;100;5;-15;3.0;89
25;100;5;-120;24.0;82
26;100;5;-235;47.0;95
27;100;5;-225;45.0;97
28;100;5;-125;25.0;84
29;100;5;-360;72.0;91
30;100;5;-325;65.0;81
31;100;5;-75;15.0;93
32;100;5;-85;17.0;95
33;100;5;-160;32.0;75
34;100;5;-215;43.0;87
35;100;5;-430;86.0;103
36;100;5;-20;4.0;105
37;100;5;-245;49.0;72
38;100;5;-300;60.0;104
39;100;5;-195;39.0;74
40;100;5;-330;66.0;84
41;100;5;-335;67.0;81
42;100;5;-40;8.0;115
43;100;5;-100;20.0;100
44;100;5;-335;67.0;88
45;100;5;-40;8.0;97
46;100;5;45;-9.0;87
47;100;5;-310;62.0;96
48;100;5;75;-15.0;91
49;100;5;-525;105.0;96
50;100;5;-110;22.0;90
51;100;5;100;-20.0;107
52;100;5;-160;32.0;117
53;100;5;-195;39.0;90
54;100;5;-375;75.0;95
55;100;5;-395;79.0;92
56;100;5;-125;25.0;84
57;100;5;-165;33.0;89
58;100;5;130;-26.0;81
59;100;5;-225;45.0;104
60;100;5;70;-14.0;114
61;100;5;-210;42.0;95
62;100;5;-125;25.0;106
63;100;5;-60;12.0;81
64;100;5;-190;38.0;86
65;100;5;-90;18.0;83
66;100;5;-335;67.0;115
67;100;5;-360;72.0;113
68;100;5;-165;33.0;73
69;100;5;-405;81.0;84
70;100;5;-250;50.0;97
71;100;5;-350;70.0;105
72;100;5;-130;26.0;86
73;100;5;-280;56.0;92
74;100;5;-45;9.0;106
75;100;5;-90;18.0;101
76;100;5;-40;8.0;90
77;100;5;-190;38.0;90
78;100;5;-150;30.0;81
79;100;5;-440;88.0;85
80;100;5;120;-24.0;100
81;100;5;190;-38.0;100
82;100;5;40;-8.0;89
83;100;5;-180;36.0;84
84;100;5;-25;5.0;83
85;100;5;-105;21.0;101
86;100;5;-110;22.0;82
87;100;5;-410;82.0;82
88;100;5;-250;50.0;85
89;100;5;-230;46.0;80
90;100;5;-340;68.0;99
91;100;5;-20;4.0;117
92;100;5;155;-31.0;81
93;100;5;-180;36.0;102
94;100;5;-280;56.0;95
95;100;5;-90;18.0;76
96;100;5;-30;6.0;91
97;100;5;-120;24.0;90
98;100;5;-20;4.0;91
99;100;5;-195;39.0;96
100;100;5;-255;51.0;73
101;100;5;-45;9.0;104
102;100;5;-235;47.0;92
103;100;5;-275;55.0;88
104;100;5;-230;46.0;99
105;100;5;-5;1.0;108
106;100;5;-225;45.0;86
107;100;5;-100;20.0;114
108;100;5;-165;33.0;79
109;100;5;-245;49.0;90
110;100;5;-325;65.0;97
111;100;5;-255;51.0;84
112;100;5;30;-6.0;78
113;100;5;-185;37.0;94
114;100;5;-230;46.0;110
115;100;5;-145;29.0;75
116;100;5;-70;14.0;76
117;100;5;-280;56.0;99
118;100;5;-15;3.0;104
119;100;5;-110;22.0;92
120;100;5;75;-15.0;103
121;100;5;-220;44.0;89
122;100;5;-205;41.0;91
123;100;5;-310;62.0;82
124;100;5;75;-15.0;98
125;100;5;-265;53.0;92
126;100;5;-35;7.0;72
127;100;5;-280;56.0;92
128;100;5;-195;39.0;71
129;100;5;-230;46.0;96
130;100;5;-25;5.0;99
131;100;5;-80;16.0;93
132;100;5;-390;78.0;96
133;100;5;-80;16.0;85
134;100;5;-250;50.0;110
135;100;5;-100;20.0;95
136;100;5;-395;79.0;86
137;100;5;-25;5.0;86
138;100;5;-55;11.0;98
139;100;5;-155;31.0;95
140;100;5;125;-25.0;104
141;100;5;25;-5.0;101
142;100;5;-465;93.0;117
143;100;5;35;-7.0;90
144;100;5;-135;27.0;80
145;100;5;-105;21.0;95
146;100;5;-250;50.0;73
147;100;5;-220;44.0;85
148;100;5;-195;39.0;98
149;100;5;-190;38.0;99
150;100;5;-375;75.0;100
151;100;5;-85;17.0;90
152;100;5;-355;71.0;110
153;100;5;-345;69.0;89
154;100;5;-255;51.0;97
155;100;5;-95;19.0;113
156;100;5;-65;13.0;87
157;100;5;-280;56.0;93
158;100;5;30;-6.0;85
159;100;5;-95;19.0;88
160;100;5;35;-7.0;83
161;100;5;100;-20.0;94
162;100;5;-170;34.0;98
163;100;5;-395;79.0;109
164;100;5;-110;22.0;111
165;100;5;-175;35.0;93
166;100;5;-240;48.0;105
167;100;5;-185;37.0;95
168;100;5;-130;26.0;98
169;100;5;-175;35.0;88
170;100;5;-240;48.0;86
171;100;5;-215;43.0;88
172;100;5;90;-18.0;91
173;100;5;-55;11.0;88
174;100;5;-195;39.0;96
175;100;5;-205;41.0;84
176;100;5;-255;51.0;86
177;100;5;-200;40.0;93
178;100;5;-65;13.0;88
179;100;5;-250;50.0;86
180;100;5;-130;26.0;99
181;100;5;-180;36.0;87
182;100;5;-170;34.0;88
183;100;5;-10;2.0;70
184;100;5;-40;8.0;83
185;100;5;-80;16.0;78
186;100;5;-205;41.0;90
187;100;5;-260;52.0;94
188;100;5;30;-6.0;82
189;100;5;15;-3.0;81
190;100;5;-65;13.0;81
191;100;5;-405;81.0;96
192;100;5;-265;53.0;92
193;100;5;-115;23.0;81
194;100;5;-200;40.0;91
195;100;5;20;-4.0;109
196;100;5;-350;70.0;106
197;100;5;-140;28.0;93
198;100;5;-325;65.0;87
199;100;5;-365;73.0;74
200;100;5;-205;41.0;88
201;100;5;50;-10.0;88
202;100;5;-280;56.0;85
203;100;5;-160;32.0;89
204;100;5;-510;102.0;108
205;100;5;-80;16.0;97
206;100;5;-175;35.0;93
