Simulation number;Hands Played;Minimum Bet;Payout;House Edge (%);Number of Mistakes
1;100;5;-95;19.0;63
2;100;5;-55;11.0;82
3;100;5;-105;21.0;79
4;100;5;-130;26.0;83
5;100;5;-5;1.0;77
6;100;5;-160;32.0;73
7;100;5;-255;51.0;82
8;100;5;-170;34.0;71
9;100;5;-120;24.0;73
10;100;5;110;-22.0;66
11;100;5;-40;8.0;85
12;100;5;-275;55.0;67
13;100;5;65;-13.0;82
14;100;5;-180;36.0;75
15;100;5;-505;101.0;106
16;100;5;-240;48.0;76
17;100;5;-195;39.0;73
18;100;5;-280;56.0;83
19;100;5;-455;91.0;96
20;100;5;-240;48.0;93
21;100;5;-285;57.0;80
22;100;5;-120;24.0;67
23;100;5;-120;24.0;67
24;100;5;-270;54.0;91
25;100;5;-420;84.0;85
26;100;5;-90;18.0;86
27;100;5;0;-0.0;76
28;100;5;-300;60.0;96
29;100;5;-30;6.0;86
30;100;5;-185;37.0;74
31;100;5;45;-9.0;104
32;100;5;-265;53.0;67
33;100;5;-180;36.0;83
34;100;5;-120;24.0;85
35;100;5;-45;9.0;74
36;100;5;-225;45.0;81
37;100;5;-265;53.0;86
38;100;5;-60;12.0;85
39;100;5;-470;94.0;108
40;100;5;-205;41.0;96
41;100;5;-175;35.0;72
42;100;5;-325;65.0;69
43;100;5;-200;40.0;75
44;100;5;-135;27.0;81
45;100;5;0;-0.0;77
46;100;5;-45;9.0;86
47;100;5;-65;13.0;87
48;100;5;-145;29.0;83
49;100;5;10;-2.0;67
50;100;5;-140;28.0;69
51;100;5;-160;32.0;87
52;100;5;-15;3.0;104
53;100;5;-80;16.0;68
54;100;5;-105;21.0;90
55;100;5;-200;40.0;92
56;100;5;-150;30.0;83
57;100;5;-210;42.0;82
58;100;5;-165;33.0;81
59;100;5;-65;13.0;71
60;100;5;-120;24.0;94
61;100;5;-195;39.0;99
62;100;5;-40;8.0;81
63;100;5;-250;50.0;75
64;100;5;-220;44.0;98
65;100;5;-75;15.0;104
66;100;5;-200;40.0;75
67;100;5;-165;33.0;72
68;100;5;-360;72.0;70
69;100;5;-145;29.0;80
70;100;5;-115;23.0;92
71;100;5;5;-1.0;72
72;100;5;-280;56.0;92
73;100;5;75;-15.0;59
74;100;5;-130;26.0;95
75;100;5;40;-8.0;64
76;100;5;-45;9.0;69
77;100;5;-255;51.0;73
78;100;5;-50;10.0;87
79;100;5;-85;17.0;77
80;100;5;-150;30.0;66
81;100;5;-80;16.0;74
82;100;5;-125;25.0;78
83;100;5;-145;29.0;76
84;100;5;-280;56.0;78
85;100;5;-270;54.0;97
86;100;5;-30;6.0;72
87;100;5;-140;28.0;91
88;100;5;-55;11.0;80
89;100;5;-165;33.0;89
90;100;5;-200;40.0;79
91;100;5;-45;9.0;87
92;100;5;-175;35.0;100
93;100;5;-420;84.0;87
94;100;5;15;-3.0;65
95;100;5;-80;16.0;96
96;100;5;-170;34.0;78
97;100;5;-165;33.0;74
98;100;5;-200;40.0;69
99;100;5;-150;30.0;82
100;100;5;-80;16.0;74
101;100;5;-30;6.0;87
102;100;5;-340;68.0;68
103;100;5;-5;1.0;87
104;100;5;-160;32.0;88
105;100;5;-125;25.0;83
106;100;5;-65;13.0;85
107;100;5;-155;31.0;89
108;100;5;0;-0.0;104
109;100;5;-290;58.0;80
110;100;5;-170;34.0;84
111;100;5;275;-55.0;82
112;100;5;100;-20.0;86
113;100;5;-170;34.0;79
114;100;5;-270;54.0;81
115;100;5;60;-12.0;85
116;100;5;-195;39.0;94
117;100;5;65;-13.0;92
118;100;5;-175;35.0;82
119;100;5;-5;1.0;81
120;100;5;-250;50.0;70
121;100;5;50;-10.0;79
122;100;5;-305;61.0;91
123;100;5;-215;43.0;72
124;100;5;-250;50.0;67
125;100;5;-60;12.0;85
126;100;5;-85;17.0;68
127;100;5;-110;22.0;68
128;100;5;-330;66.0;75
129;100;5;-470;94.0;96
130;100;5;-205;41.0;64
131;100;5;-20;4.0;79
132;100;5;-270;54.0;80
133;100;5;-140;28.0;84
134;100;5;-150;30.0;104
135;100;5;-180;36.0;81
136;100;5;-190;38.0;74
137;100;5;-420;84.0;81
138;100;5;135;-27.0;88
